Time,Node,S,E,I,R
0,0,13394.0,0.0,271.0,258275.0
0,1,15396.0,0.0,0.0,318975.0
0,2,27921.0,0.0,0.0,394130.0
0,3,39132.0,0.0,0.0,537335.0
0,4,56312.0,0.0,0.0,765688.0
0,5,39270.0,0.0,0.0,502928.0
0,6,89275.0,0.0,0.0,1403093.0
0,7,77200.0,0.0,0.0,1205875.0
0,8,57529.0,0.0,0.0,894868.0
0,9,82916.0,0.0,0.0,1268597.0
0,10,36771.0,0.0,0.0,554909.0
0,11,62878.0,0.0,0.0,969329.0
0,12,69964.0,0.0,0.0,1103353.0
0,13,78363.0,0.0,0.0,1223006.0
1,0,13374.0,20.0,271.0,258252.84
1,1,15396.0,0.0,0.0,318947.7
1,2,27921.0,0.0,0.0,394102.62
1,3,39132.0,0.0,0.0,537301.6
1,4,56312.0,0.0,0.0,765640.5
1,5,39270.0,0.0,0.0,502896.7
1,6,89275.0,0.0,0.0,1403034.6
1,7,77200.0,0.0,0.0,1205831.8
1,8,57529.0,0.0,0.0,894835.75
1,9,82916.0,0.0,0.0,1268551.2
1,10,36771.0,0.0,0.0,554889.0
1,11,62878.0,0.0,0.0,969294.1
1,12,69964.0,0.0,0.0,1103313.2
1,13,78363.0,0.0,0.0,1222962.0
2,0,13353.0,38.0,274.0,258230.69
2,1,15396.0,0.0,0.0,318920.38
2,2,27921.0,0.0,0.0,394075.22
2,3,39132.0,0.0,0.0,537268.25
2,4,56312.0,0.0,0.0,765593.06
2,5,39270.0,0.0,0.0,502865.38
2,6,89275.0,0.0,0.0,1402976.2
2,7,77200.0,0.0,0.0,1205788.2
2,8,57529.0,0.0,0.0,894803.56
2,9,82916.0,0.0,0.0,1268505.8
2,10,36771.0,0.0,0.0,554869.0
2,11,62878.0,0.0,0.0,969259.25
2,12,69964.0,0.0,0.0,1103273.6
2,13,78363.0,0.0,0.0,1222918.0
3,0,13335.0,45.0,284.0,258209.53
3,1,15396.0,0.0,0.0,318893.1
3,2,27921.0,0.0,0.0,394047.84
3,3,39132.0,0.0,0.0,537234.9
3,4,56312.0,0.0,0.0,765545.6
3,5,39270.0,0.0,0.0,502834.06
3,6,89275.0,0.0,0.0,1402917.8
3,7,77200.0,0.0,0.0,1205745.0
3,8,57529.0,0.0,0.0,894771.4
3,9,82916.0,0.0,0.0,1268460.0
3,10,36771.0,0.0,0.0,554849.06
3,11,62878.0,0.0,0.0,969224.3
3,12,69964.0,0.0,0.0,1103234.0
3,13,78363.0,0.0,0.0,1222874.0
4,0,13315.0,53.0,296.0,258187.38
4,1,15396.0,0.0,0.0,318865.78
4,2,27921.0,0.0,0.0,394020.47
4,3,39132.0,0.0,0.0,537201.44
4,4,56312.0,0.0,0.0,765498.1
4,5,39270.0,0.0,0.0,502802.78
4,6,89275.0,0.0,0.0,1402859.5
4,7,77200.0,0.0,0.0,1205701.8
4,8,57529.0,0.0,0.0,894739.1
4,9,82916.0,0.0,0.0,1268414.2
4,10,36771.0,0.0,0.0,554829.06
4,11,62878.0,0.0,0.0,969189.44
4,12,69964.0,0.0,0.0,1103194.2
4,13,78363.0,0.0,0.0,1222830.0
5,0,13296.0,48.0,319.0,258166.22
5,1,15396.0,0.0,0.0,318838.47
5,2,27921.0,0.0,0.0,393993.1
5,3,39132.0,0.0,0.0,537168.06
5,4,56312.0,0.0,0.0,765450.75
5,5,39270.0,0.0,0.0,502771.5
5,6,89275.0,0.0,0.0,1402801.0
5,7,77200.0,0.0,0.0,1205658.4
5,8,57529.0,0.0,0.0,894706.94
5,9,82916.0,0.0,0.0,1268368.8
5,10,36771.0,0.0,0.0,554809.1
5,11,62878.0,0.0,0.0,969154.56
5,12,69964.0,0.0,0.0,1103154.5
5,13,78363.0,0.0,0.0,1222786.0
6,0,13273.0,50.0,339.0,258145.1
6,1,15396.0,0.0,0.0,318811.2
6,2,27921.0,0.0,0.0,393965.72
6,3,39132.0,0.0,0.0,537134.7
6,4,56312.0,0.0,0.0,765403.25
6,5,39270.0,0.0,0.0,502740.2
6,6,89275.0,0.0,0.0,1402742.8
