ISO_A3,TZA,ESH,COD,SOM,KEN,SDN,TCD,ZAF,LSO,ZWE,BWA,NAM,SEN,MLI,MRT,BEN,NER,NGA,CMR,TGO,GHA,CIV,GIN,GNB,LBR,SLE,BFA,CAF,COG,GAB,GNQ,ZMB,MWI,MOZ,SWZ,AGO,BDI,MDG,GMB,TUN,DZA,ERI,MAR,EGY,LBY,ETH,DJI,UGA,RWA,SSD
TZA,0.0,6267.0,1300.0,1730.0,833.0,2556.0,3020.0,2881.0,2836.0,1540.0,2191.0,2678.0,5948.0,5016.0,5840.0,4019.0,3877.0,3459.0,2799.0,4098.0,4306.0,4749.0,5429.0,5913.0,5115.0,5436.0,4563.0,2141.0,2266.0,2643.0,2854.0,1123.0,779.0,1258.0,2375.0,2039.0,628.0,2001.0,6005.0,5501.0,5354.0,2463.0,6365.0,3791.0,4249.0,1743.0,2184.0,881.0,717.0,1589.0
ESH,6267.0,0.0,5037.0,6821.0,6181.0,4775.0,3574.0,7401.0,7661.0,6772.0,6628.0,6220.0,1201.0,1264.0,523.0,2343.0,2526.0,2819.0,3491.0,2348.0,2249.0,2069.0,1618.0,1475.0,2085.0,1830.0,1815.0,4158.0,4175.0,3890.0,3605.0,6159.0,6680.0,7097.0,7570.0,5296.0,5640.0,8218.0,1325.0,2718.0,1715.0,5750.0,834.0,4678.0,3364.0,6030.0,6253.0,5607.0,5558.0,5104.0
COD,1300.0,5037.0,0.0,2608.0,1627.0,2233.0,2121.0,3050.0,3158.0,1941.0,2195.0,2316.0,4657.0,3775.0,4589.0,2744.0,2772.0,2218.0,1546.0,2811.0,3012.0,3450.0,4132.0,4616.0,3815.0,4137.0,3291.0,1104.0,968.0,1347.0,1554.0,1267.0,1651.0,2099.0,2858.0,1254.0,707.0,3182.0,4710.0,4626.0,4295.0,2647.0,5208.0,3445.0,3495.0,2191.0,2662.0,1080.0,711.0,1347.0
SOM,1730.0,6821.0,2608.0,0.0,999.0,2177.0,3252.0,4526.0,4420.0,3200.0,3903.0,4407.0,6793.0,5665.0,6485.0,4862.0,4295.0,4235.0,3689.0,4998.0,5241.0,5725.0,6355.0,6822.0,6142.0,6418.0,5356.0,2830.0,3463.0,3838.0,3953.0,2853.0,2378.0,2733.0,3911.0,3676.0,1980.0,2725.0,6879.0,5342.0,5538.0,1434.0,6705.0,3085.0,4035.0,815.0,862.0,1539.0,1915.0,1753.0
KEN,833.0,6181.0,1627.0,999.0,0.0,1947.0,2708.0,3714.0,3661.0,2373.0,3015.0,3460.0,6022.0,4970.0,5800.0,4073.0,3687.0,3463.0,2859.0,4188.0,4420.0,4893.0,5548.0,6025.0,5294.0,5590.0,4594.0,2048.0,2527.0,2909.0,3055.0,1926.0,1589.0,2034.0,3188.0,2680.0,981.0,2467.0,6097.0,5064.0,5071.0,1665.0,6169.0,3118.0,3769.0,919.0,1351.0,610.0,923.0,1126.0
SDN,2556.0,4775.0,2233.0,2177.0,1947.0,0.0,1259.0,5195.0,5240.0,3935.0,4369.0,4549.0,4945.0,3721.0,4501.0,3151.0,2290.0,2545.0,2252.0,3330.0,3584.0,4067.0,4602.0,5030.0,4507.0,4717.0,3550.0,1509.0,2507.0,2759.0,2710.0,3310.0,3309.0,3804.0,4846.0,3461.0,2176.0,4412.0,5053.0,3180.0,3380.0,982.0,4573.0,1253.0,1871.0,1364.0,1488.0,1681.0,2025.0,993.0
TCD,3020.0,3574.0,2121.0,3252.0,2708.0,1259.0,0.0,5142.0,5272.0,4058.0,4281.0,4253.0,3686.0,2471.0,3266.0,1924.0,1053.0,1353.0,1285.0,2112.0,2364.0,2837.0,3349.0,3771.0,3278.0,3471.0,2294.0,1022.0,1861.0,1957.0,1797.0,3383.0,3642.0,4130.0,4978.0,3102.0,2451.0,5016.0,3793.0,2517.0,2365.0,2236.0,3473.0,1825.0,1393.0,2455.0,2694.0,2205.0,2323.0,1586.0
ZAF,2881.0,7401.0,3050.0,4526.0,3714.0,5195.0,5142.0,0.0,361.0,1342.0,862.0,1212.0,6636.0,6190.0,6889.0,5104.0,5597.0,4815.0,4224.0,5063.0,5152.0,5410.0,6050.0,6485.0,5594.0,5946.0,5596.0,4122.0,3450.0,3610.0,3902.0,1890.0,2151.0,1829.0,782.0,2161.0,3040.0,2682.0,6629.0,7596.0,7102.0,5315.0,7794.0,6442.0,6531.0,4621.0,5065.0,3602.0,3189.0,4214.0
LSO,2836.0,7661.0,3158.0,4420.0,3661.0,5240.0,5272.0,361.0,0.0,1314.0,1044.0,1528.0,6926.0,6438.0,7153.0,5347.0,5783.0,5027.0,4417.0,5317.0,5417.0,5692.0,6341.0,6783.0,5891.0,6244.0,5850.0,4250.0,3643.0,3831.0,4124.0,1937.0,2074.0,1690.0,533.0,2382.0,3067.0,2405.0,6925.0,7752.0,7299.0,5294.0,8029.0,6493.0,6652.0,4578.0,5007.0,3608.0,3218.0,4251.0
ZWE,1540.0,6772.0,1941.0,3200.0,2373.0,3935.0,4058.0,1342.0,1314.0,0.0,771.0,1458.0,6188.0,5516.0,6287.0,4429.0,4679.0,4012.0,3359.0,4438.0,4584.0,4935.0,5616.0,6086.0,5210.0,5560.0,4963.0,3045.0,2612.0,2882.0,3168.0,675.0,823.0,654.0,926.0,1568.0,1759.0,1880.0,6210.0,6567.0,6207.0,3986.0,7044.0,5188.0,5415.0,3282.0,3723.0,2294.0,1910.0,2943.0
BWA,2191.0,6628.0,2195.0,3903.0,3015.0,4369.0,4281.0,862.0,1044.0,771.0,0.0,735.0,5926.0,5400.0,6124.0,4307.0,4748.0,3984.0,3379.0,4282.0,4389.0,4683.0,5343.0,5794.0,4904.0,5258.0,4815.0,3261.0,2604.0,2787.0,3081.0,1105.0,1559.0,1415.0,1000.0,1340.0,2246.0,2570.0,5931.0,6737.0,6260.0,4554.0,6987.0,5609.0,5670.0,3896.0,4356.0,2823.0,2391.0,3399.0
NAM,2678.0,6220.0,2316.0,4407.0,3460.0,4549.0,4253.0,1212.0,1528.0,1458.0,735.0,0.0,5428.0,5030.0,5705.0,3955.0,4561.0,3727.0,3191.0,3899.0,3971.0,4209.0,4842.0,5274.0,4383.0,4735.0,4429.0,3267.0,2439.0,2525.0,2808.0,1557.0,2167.0,2113.0,1667.0,1151.0,2575.0,3301.0,5420.0,6611.0,6030.0,4878.0,6649.0,5753.0,5642.0,4285.0,4759.0,3156.0,2702.0,3634.0
SEN,5948.0,1201.0,4657.0,6793.0,6022.0,4945.0,3686.0,6636.0,6926.0,6188.0,5926.0,5428.0,0.0,1272.0,832.0,1950.0,2679.0,2564.0,3174.0,1851.0,1646.0,1253.0,586.0,274.0,1058.0,724.0,1437.0,3982.0,3711.0,3364.0,3114.0,5633.0,6235.0,6600.0,6907.0,4641.0,5327.0,7799.0,144.0,3615.0,2540.0,5922.0,2012.0,5145.0,3918.0,6052.0,6353.0,5418.0,5273.0,5040.0
MLI,5016.0,1264.0,3775.0,5665.0,4970.0,3721.0,2471.0,6190.0,6438.0,5516.0,5400.0,5030.0,1272.0,0.0,830.0,1093.0,1432.0,1559.0,2230.0,1131.0,1100.0,1137.0,1152.0,1428.0,1401.0,1363.0,610.0,2929.0,2913.0,2637.0,2349.0,4898.0,5417.0,5834.0,6327.0,4062.0,4388.0,6957.0,1400.0,2540.0,1498.0,4702.0,1632.0,3874.0,2660.0,4894.0,5162.0,4384.0,4310.0,3923.0
MRT,5840.0,523.0,4589.0,6485.0,5800.0,4501.0,3266.0,6889.0,7153.0,6287.0,6124.0,5705.0,832.0,830.0,0.0,1864.0,2215.0,2381.0,3047.0,1850.0,1737.0,1546.0,1134.0,1093.0,1584.0,1357.0,1323.0,3759.0,3704.0,3405.0,3124.0,5683.0,6223.0,6630.0,7072.0,4796.0,5212.0,7770.0,974.0,2813.0,1746.0,5482.0,1221.0,4534.0,3252.0,5707.0,5960.0,5214.0,5137.0,4747.0
BEN,4019.0,2343.0,2744.0,4862.0,4073.0,3151.0,1924.0,5104.0,5347.0,4429.0,4307.0,3955.0,1950.0,1093.0,1864.0,0.0,1178.0,630.0,1227.0,202.0,442.0,916.0,1495.0,1961.0,1357.0,1578.0,547.0,2038.0,1841.0,1547.0,1262.0,3820.0,4365.0,4767.0,5234.0,2969.0,3394.0,5919.0,2025.0,3068.0,2213.0,4098.0,2694.0,3647.0,2685.0,4143.0,4477.0,3469.0,3333.0,3112.0
NER,3877.0,2526.0,2772.0,4295.0,3687.0,2290.0,1053.0,5597.0,5783.0,4679.0,4748.0,4561.0,2679.0,1432.0,2215.0,1178.0,0.0,905.0,1375.0,1379.0,1595.0,2006.0,2407.0,2792.0,2430.0,2561.0,1369.0,1738.0,2147.0,2044.0,1777.0,4014.0,4405.0,4868.0,5567.0,3448.0,3266.0,5872.0,2795.0,2079.0,1528.0,3272.0,2494.0,2532.0,1507.0,3505.0,3746.0,3138.0,3160.0,2588.0
