agegroup,agemin,agemax_mo_orig,agemax_mo,agemin_y,agemax_y
0 to 5 years,0,59,60,0,5
0 to 9 years,0,107,108,0,9
14W-59M,3,59,60,0.25,5
6-59M,6,59,60,0.5,5
4-59M,4,59,60,0.333333333,5
2M-71M (2M - 6Y),2,71,72,0.166666667,6
0-11M,0,11,12,0,1
All ages,0,1000,1200,0,100
2-35M,2,35,36,0.166666667,3
2-3Y,24,35,36,2,3
0-71M,0,71,72,0,6
0-84M (0-7Y),0,84,84,0,7
2-59M,2,59,60,0.166666667,5
0-14Y,0,167,168,0,14
0 to 15 years,0,179,180,0,15
0-23M,0,23,24,0,2
"2-47M (0,2-3,9Y)",2,47,48,0.166666667,4
9M-14Y,9,167,168,0.75,14
9-59M,9,59,60,0.75,5
0-17Y,0,216,216,0,18
18M-47M,18,47,48,1.5,4
12-35M,12,35,36,1,3
0-13Y,0,156,156,0,13
2M-15Y,2,180,180,0.166666667,15
5-13Y,60,156,156,5,13
14W-35M,3,35,36,0.25,3
4-23M,4,23,24,0.333333333,2
0-35M,0,35,36,0,3
0-10Y,0,119,120,0,10
2-24M,2,24,24,0.166666667,2
1-4Y,12,59,48,1,4
6m-6y,6,71,72,0.5,6
