scenario_sia,year,month,start_date,adm0_name,adm1_name,adm2_name
1,2025,2,2025-02-01,NIGERIA,SOKOTO,BINJI
1,2025,2,2025-02-01,NIGERIA,SOKOTO,BODINGA
1,2025,2,2025-02-01,NIGERIA,SOKOTO,DANGE-SHUNI
1,2025,2,2025-02-01,NIGERIA,SOKOTO,GADA
1,2025,2,2025-02-01,NIGERIA,SOKOTO,GORONYO
1,2025,2,2025-02-01,NIGERIA,SOKOTO,GUDU
1,2025,2,2025-02-01,NIGERIA,SOKOTO,GWADABAWA
1,2025,2,2025-02-01,NIGERIA,SOKOTO,ILLELA
1,2025,2,2025-02-01,NIGERIA,SOKOTO,ISA
1,2025,2,2025-02-01,NIGERIA,SOKOTO,KEBBE
1,2025,2,2025-02-01,NIGERIA,SOKOTO,KWARE
1,2025,2,2025-02-01,NIGERIA,SOKOTO,RABAH
1,2025,2,2025-02-01,NIGERIA,SOKOTO,SABON BIRNI
1,2025,2,2025-02-01,NIGERIA,SOKOTO,SHAGARI
1,2025,2,2025-02-01,NIGERIA,SOKOTO,SILAME
1,2025,2,2025-02-01,NIGERIA,SOKOTO,SOKOTO NORTH
1,2025,2,2025-02-01,NIGERIA,SOKOTO,SOKOTO SOUTH
1,2025,2,2025-02-01,NIGERIA,SOKOTO,TAMBUWAL
1,2025,2,2025-02-01,NIGERIA,SOKOTO,TANGAZA
1,2025,2,2025-02-01,NIGERIA,SOKOTO,TURETA
1,2025,2,2025-02-01,NIGERIA,SOKOTO,WAMAKO
1,2025,2,2025-02-01,NIGERIA,SOKOTO,WURNO
1,2025,2,2025-02-01,NIGERIA,SOKOTO,YABO
1,2025,2,2025-02-01,NIGERIA,YOBE,BARDE
1,2025,2,2025-02-01,NIGERIA,YOBE,BORSARI
1,2025,2,2025-02-01,NIGERIA,YOBE,DAMATURU
1,2025,2,2025-02-01,NIGERIA,YOBE,FIKA
1,2025,2,2025-02-01,NIGERIA,YOBE,FUNE
1,2025,2,2025-02-01,NIGERIA,YOBE,GEIDAM
1,2025,2,2025-02-01,NIGERIA,YOBE,GUJBA
1,2025,2,2025-02-01,NIGERIA,YOBE,GULANI
1,2025,2,2025-02-01,NIGERIA,YOBE,JAKUSKO
1,2025,2,2025-02-01,NIGERIA,YOBE,KARASUWA
1,2025,2,2025-02-01,NIGERIA,YOBE,MACHINA
1,2025,2,2025-02-01,NIGERIA,YOBE,NANGERE
1,2025,2,2025-02-01,NIGERIA,YOBE,NGURU
1,2025,2,2025-02-01,NIGERIA,YOBE,POTISKUM
1,2025,2,2025-02-01,NIGERIA,YOBE,TARMUA
1,2025,2,2025-02-01,NIGERIA,YOBE,YUNUSARI
1,2025,2,2025-02-01,NIGERIA,YOBE,YUSUFARI
1,2025,2,2025-02-01,NIGERIA,BAUCHI,ALKALERI
1,2025,2,2025-02-01,NIGERIA,BAUCHI,BAUCHI
1,2025,2,2025-02-01,NIGERIA,BAUCHI,BOGORO
1,2025,2,2025-02-01,NIGERIA,BAUCHI,DAMBAN
1,2025,2,2025-02-01,NIGERIA,BAUCHI,DARAZO
1,2025,2,2025-02-01,NIGERIA,BAUCHI,DASS
1,2025,2,2025-02-01,NIGERIA,BAUCHI,GAMAWA
1,2025,2,2025-02-01,NIGERIA,BAUCHI,GANJUWA
1,2025,2,2025-02-01,NIGERIA,BAUCHI,GIADE
1,2025,2,2025-02-01,NIGERIA,BAUCHI,ITAS/GADAU
1,2025,2,2025-02-01,NIGERIA,BAUCHI,JAMA'ARE
1,2025,2,2025-02-01,NIGERIA,BAUCHI,KATAGUM
1,2025,2,2025-02-01,NIGERIA,BAUCHI,KIRFI
1,2025,2,2025-02-01,NIGERIA,BAUCHI,MISAU
1,2025,2,2025-02-01,NIGERIA,BAUCHI,NINGI
1,2025,2,2025-02-01,NIGERIA,BAUCHI,SHIRA
1,2025,2,2025-02-01,NIGERIA,BAUCHI,TAFAWA-BALEWA
1,2025,2,2025-02-01,NIGERIA,BAUCHI,TORO
