who_region,adm0_name,adm1_name,dot_name
AFRO,NIGERIA,ADAMAWA,AFRO:NIGERIA:ADAMAWA
AFRO,NIGERIA,BAUCHI,AFRO:NIGERIA:BAUCHI
AFRO,NIGERIA,BENUE,AFRO:NIGERIA:BENUE
AFRO,NIGERIA,BORNO,AFRO:NIGERIA:BORNO
AFRO,NIGERIA,FCT,AFRO:NIGERIA:FCT
AFRO,NIGERIA,GOMBE,AFRO:NIGERIA:GOMBE
AFRO,NIGERIA,JIGAWA,AFRO:NIGERIA:JIGAWA
AFRO,NIGERIA,KADUNA,AFRO:NIGERIA:KADUNA
AFRO,NIGERIA,KANO,AFRO:NIGERIA:KANO
AFRO,NIGERIA,KATSINA,AFRO:NIGERIA:KATSINA
AFRO,NIGERIA,KEBBI,AFRO:NIGERIA:KEBBI
AFRO,NIGERIA,KOGI,AFRO:NIGERIA:KOGI
AFRO,NIGERIA,KWARA,AFRO:NIGERIA:KWARA
AFRO,NIGERIA,NASARAWA,AFRO:NIGERIA:NASARAWA
AFRO,NIGERIA,NIGER,AFRO:NIGERIA:NIGER
AFRO,NIGERIA,PLATEAU,AFRO:NIGERIA:PLATEAU
AFRO,NIGERIA,SOKOTO,AFRO:NIGERIA:SOKOTO
AFRO,NIGERIA,TARABA,AFRO:NIGERIA:TARABA
AFRO,NIGERIA,YOBE,AFRO:NIGERIA:YOBE
AFRO,NIGERIA,ZAMFARA,AFRO:NIGERIA:ZAMFARA
