scenario_sia,year,month,start_date,adm0_name,adm1_name,adm2_name
2,2025,2,2025-02-01,NIGERIA,SOKOTO,BINJI
2,2025,2,2025-02-01,NIGERIA,SOKOTO,BODINGA
2,2025,2,2025-02-01,NIGERIA,SOKOTO,DANGE-SHUNI
2,2025,2,2025-02-01,NIGERIA,SOKOTO,GADA
2,2025,2,2025-02-01,NIGERIA,SOKOTO,GORONYO
2,2025,2,2025-02-01,NIGERIA,SOKOTO,GUDU
2,2025,2,2025-02-01,NIGERIA,SOKOTO,GWADABAWA
2,2025,2,2025-02-01,NIGERIA,SOKOTO,ILLELA
2,2025,2,2025-02-01,NIGERIA,SOKOTO,ISA
2,2025,2,2025-02-01,NIGERIA,SOKOTO,KEBBE
2,2025,2,2025-02-01,NIGERIA,SOKOTO,KWARE
2,2025,2,2025-02-01,NIGERIA,SOKOTO,RABAH
2,2025,2,2025-02-01,NIGERIA,SOKOTO,SABON BIRNI
2,2025,2,2025-02-01,NIGERIA,SOKOTO,SHAGARI
2,2025,2,2025-02-01,NIGERIA,SOKOTO,SILAME
2,2025,2,2025-02-01,NIGERIA,SOKOTO,SOKOTO NORTH
2,2025,2,2025-02-01,NIGERIA,SOKOTO,SOKOTO SOUTH
2,2025,2,2025-02-01,NIGERIA,SOKOTO,TAMBUWAL
2,2025,2,2025-02-01,NIGERIA,SOKOTO,TANGAZA
2,2025,2,2025-02-01,NIGERIA,SOKOTO,TURETA
2,2025,2,2025-02-01,NIGERIA,SOKOTO,WAMAKO
2,2025,2,2025-02-01,NIGERIA,SOKOTO,WURNO
2,2025,2,2025-02-01,NIGERIA,SOKOTO,YABO
2,2025,2,2025-02-01,NIGERIA,YOBE,BARDE
2,2025,2,2025-02-01,NIGERIA,YOBE,BORSARI
2,2025,2,2025-02-01,NIGERIA,YOBE,DAMATURU
2,2025,2,2025-02-01,NIGERIA,YOBE,FIKA
2,2025,2,2025-02-01,NIGERIA,YOBE,FUNE
2,2025,2,2025-02-01,NIGERIA,YOBE,GEIDAM
2,2025,2,2025-02-01,NIGERIA,YOBE,GUJBA
2,2025,2,2025-02-01,NIGERIA,YOBE,GULANI
2,2025,2,2025-02-01,NIGERIA,YOBE,JAKUSKO
2,2025,2,2025-02-01,NIGERIA,YOBE,KARASUWA
2,2025,2,2025-02-01,NIGERIA,YOBE,MACHINA
2,2025,2,2025-02-01,NIGERIA,YOBE,NANGERE
2,2025,2,2025-02-01,NIGERIA,YOBE,NGURU
2,2025,2,2025-02-01,NIGERIA,YOBE,POTISKUM
2,2025,2,2025-02-01,NIGERIA,YOBE,TARMUA
2,2025,2,2025-02-01,NIGERIA,YOBE,YUNUSARI
2,2025,2,2025-02-01,NIGERIA,YOBE,YUSUFARI
