Time,Node,S,E,I,R
0,0,1376.0,0.0,27.0,25791.0
0,1,1528.0,0.0,0.0,31909.0
0,2,2283.0,0.0,0.0,39342.0
0,3,3860.0,0.0,0.0,53830.0
0,4,6040.0,0.0,0.0,76201.0
0,5,3756.0,0.0,0.0,50308.0
0,6,9123.0,0.0,0.0,139442.0
0,7,8223.0,0.0,0.0,120351.0
0,8,6243.0,0.0,0.0,89011.0
0,9,8081.0,0.0,0.0,127172.0
0,10,3892.0,0.0,0.0,55361.0
0,11,6504.0,0.0,0.0,96732.0
0,12,7395.0,0.0,0.0,110111.0
0,13,7735.0,0.0,0.0,122555.0
1,0,1376.0,0.0,27.0,25788.773
1,1,1528.0,0.0,0.0,31906.277
1,2,2283.0,0.0,0.0,39339.24
1,3,3860.0,0.0,0.0,53826.67
1,4,6040.0,0.0,0.0,76196.25
1,5,3756.0,0.0,0.0,50304.883
1,6,9123.0,0.0,0.0,139436.16
1,7,8223.0,0.0,0.0,120346.68
1,8,6243.0,0.0,0.0,89007.79
1,9,8081.0,0.0,0.0,127167.42
1,10,3892.0,0.0,0.0,55359.008
1,11,6504.0,0.0,0.0,96728.52
1,12,7395.0,0.0,0.0,110107.06
1,13,7735.0,0.0,0.0,122550.6
2,0,1374.0,2.0,27.0,25786.547
2,1,1528.0,0.0,0.0,31903.55
2,2,2283.0,0.0,0.0,39336.48
2,3,3860.0,0.0,0.0,53823.348
2,4,6040.0,0.0,0.0,76191.5
2,5,3756.0,0.0,0.0,50301.766
2,6,9123.0,0.0,0.0,139430.31
2,7,8223.0,0.0,0.0,120342.36
2,8,6243.0,0.0,0.0,89004.586
2,9,8081.0,0.0,0.0,127162.84
2,10,3892.0,0.0,0.0,55357.016
2,11,6504.0,0.0,0.0,96725.05
2,12,7395.0,0.0,0.0,110103.125
2,13,7735.0,0.0,0.0,122546.2
3,0,1371.0,5.0,27.0,25784.32
3,1,1528.0,0.0,0.0,31900.83
3,2,2283.0,0.0,0.0,39333.723
3,3,3860.0,0.0,0.0,53820.023
3,4,6040.0,0.0,0.0,76186.74
3,5,3756.0,0.0,0.0,50298.65
3,6,9123.0,0.0,0.0,139424.48
3,7,8223.0,0.0,0.0,120338.05
3,8,6243.0,0.0,0.0,89001.375
3,9,8081.0,0.0,0.0,127158.27
3,10,3892.0,0.0,0.0,55355.02
3,11,6504.0,0.0,0.0,96721.58
3,12,7395.0,0.0,0.0,110099.19
3,13,7735.0,0.0,0.0,122541.805
4,0,1368.0,7.0,28.0,25782.096
4,1,1528.0,0.0,0.0,31898.105
4,2,2283.0,0.0,0.0,39330.96
4,3,3860.0,0.0,0.0,53816.7
4,4,6040.0,0.0,0.0,76182.0
4,5,3756.0,0.0,0.0,50295.53
4,6,9123.0,0.0,0.0,139418.64
4,7,8223.0,0.0,0.0,120333.73
4,8,6243.0,0.0,0.0,88998.17
4,9,8081.0,0.0,0.0,127153.695
4,10,3892.0,0.0,0.0,55353.027
4,11,6504.0,0.0,0.0,96718.1
4,12,7395.0,0.0,0.0,110095.25
4,13,7735.0,0.0,0.0,122537.414
5,0,1366.0,7.0,30.0,25779.871
5,1,1528.0,0.0,0.0,31895.383
5,2,2283.0,0.0,0.0,39328.203
5,3,3860.0,0.0,0.0,53813.375
5,4,6040.0,0.0,0.0,76177.25
5,5,3756.0,0.0,0.0,50292.414
5,6,9123.0,0.0,0.0,139412.81
5,7,8223.0,0.0,0.0,120329.41
5,8,6243.0,0.0,0.0,88994.97
5,9,8081.0,0.0,0.0,127149.125
5,10,3892.0,0.0,0.0,55351.03
5,11,6504.0,0.0,0.0,96714.625
5,12,7395.0,0.0,0.0,110091.31
5,13,7735.0,0.0,0.0,122533.016
6,0,1366.0,5.0,31.0,25778.645
6,1,1528.0,0.0,0.0,31892.662
6,2,2283.0,0.0,0.0,39325.445
6,3,3860.0,0.0,0.0,53810.05
6,4,6040.0,0.0,0.0,76172.5
6,5,3756.0,0.0,0.0,50289.3
6,6,9123.0,0.0,0.0,139406.97
6,7,8223.0,0.0,0.0,120325.09
6,8,6243.0,0.0,0.0,88991.76
6,9,8081.0,0.0,0.0,127144.55
