timestep,date,node,S,E,I,R
0,2019-01-01,0,152,0,2,2419
0,2019-01-01,1,102,0,0,1721
0,2019-01-01,2,199,0,0,2433
0,2019-01-01,3,380,0,0,3946
0,2019-01-01,4,600,0,0,6477
0,2019-01-01,5,352,0,0,3438
0,2019-01-01,6,735,0,0,9517
0,2019-01-01,7,748,0,0,10446
0,2019-01-01,8,662,0,0,8781
0,2019-01-01,9,456,0,0,9072
0,2019-01-01,10,190,0,0,3778
0,2019-01-01,11,483,0,0,7089
0,2019-01-01,12,583,0,0,6789
0,2019-01-01,13,838,0,0,10845
1,2019-01-02,0,152,0,2,2417
1,2019-01-02,1,102,0,0,1719
1,2019-01-02,2,199,0,0,2431
1,2019-01-02,3,380,0,0,3944
1,2019-01-02,4,600,0,0,6475
1,2019-01-02,5,352,0,0,3436
1,2019-01-02,6,735,0,0,9515
1,2019-01-02,7,748,0,0,10444
1,2019-01-02,8,662,0,0,8779
1,2019-01-02,9,456,0,0,9070
1,2019-01-02,10,190,0,0,3776
1,2019-01-02,11,483,0,0,7087
1,2019-01-02,12,583,0,0,6787
1,2019-01-02,13,838,0,0,10843
2,2019-01-03,0,152,0,2,2417
2,2019-01-03,1,102,0,0,1719
2,2019-01-03,2,199,0,0,2431
2,2019-01-03,3,380,0,0,3944
2,2019-01-03,4,600,0,0,6475
2,2019-01-03,5,352,0,0,3436
2,2019-01-03,6,735,0,0,9515
2,2019-01-03,7,748,0,0,10444
2,2019-01-03,8,662,0,0,8779
2,2019-01-03,9,456,0,0,9070
2,2019-01-03,10,190,0,0,3776
2,2019-01-03,11,483,0,0,7087
2,2019-01-03,12,583,0,0,6787
2,2019-01-03,13,838,0,0,10843
3,2019-01-04,0,152,0,2,2417
3,2019-01-04,1,102,0,0,1719
3,2019-01-04,2,199,0,0,2431
3,2019-01-04,3,380,0,0,3944
3,2019-01-04,4,600,0,0,6475
3,2019-01-04,5,352,0,0,3436
3,2019-01-04,6,735,0,0,9515
3,2019-01-04,7,748,0,0,10444
3,2019-01-04,8,662,0,0,8779
3,2019-01-04,9,456,0,0,9070
3,2019-01-04,10,190,0,0,3776
3,2019-01-04,11,483,0,0,7087
3,2019-01-04,12,583,0,0,6787
3,2019-01-04,13,838,0,0,10843
4,2019-01-05,0,152,0,2,2417
4,2019-01-05,1,102,0,0,1719
4,2019-01-05,2,199,0,0,2431
4,2019-01-05,3,380,0,0,3944
4,2019-01-05,4,600,0,0,6475
4,2019-01-05,5,352,0,0,3436
4,2019-01-05,6,735,0,0,9515
4,2019-01-05,7,748,0,0,10444
4,2019-01-05,8,662,0,0,8779
4,2019-01-05,9,456,0,0,9070
4,2019-01-05,10,190,0,0,3776
