Time,Node,S,E,I,R
0,0,1501.0,0.0,27.0,25666.0
0,1,1685.0,0.0,0.0,31752.0
0,2,2492.0,0.0,0.0,38152.0
0,3,4046.0,0.0,0.0,53624.0
0,4,5562.0,0.0,0.0,76549.0
0,5,4170.0,0.0,0.0,49917.0
0,6,9616.0,0.0,0.0,139674.0
0,7,8038.0,0.0,0.0,120368.0
0,8,6524.0,0.0,0.0,88681.0
0,9,9099.0,0.0,0.0,125956.0
0,10,3477.0,0.0,0.0,55746.0
0,11,6289.0,0.0,0.0,96991.0
0,12,7039.0,0.0,0.0,110333.0
0,13,7940.0,0.0,0.0,122456.0
1,0,1501.0,0.0,27.0,25663.793
1,1,1685.0,0.0,0.0,31749.281
1,2,2492.0,0.0,0.0,38149.266
1,3,4046.0,0.0,0.0,53620.668
1,4,5562.0,0.0,0.0,76544.266
1,5,4170.0,0.0,0.0,49913.88
1,6,9616.0,0.0,0.0,139668.17
1,7,8038.0,0.0,0.0,120363.695
1,8,6524.0,0.0,0.0,88677.78
1,9,9099.0,0.0,0.0,125951.445
1,10,3477.0,0.0,0.0,55743.99
1,11,6289.0,0.0,0.0,96987.516
1,12,7039.0,0.0,0.0,110329.03
1,13,7940.0,0.0,0.0,122451.6
2,0,1500.0,1.0,27.0,25661.586
2,1,1685.0,0.0,0.0,31746.56
2,2,2492.0,0.0,0.0,38146.527
2,3,4046.0,0.0,0.0,53617.336
2,4,5562.0,0.0,0.0,76539.52
2,5,4170.0,0.0,0.0,49910.758
2,6,9616.0,0.0,0.0,139662.34
2,7,8038.0,0.0,0.0,120359.4
2,8,6524.0,0.0,0.0,88674.58
2,9,9099.0,0.0,0.0,125946.89
2,10,3477.0,0.0,0.0,55741.977
2,11,6289.0,0.0,0.0,96984.02
2,12,7039.0,0.0,0.0,110325.07
2,13,7940.0,0.0,0.0,122447.2
3,0,1498.0,3.0,27.0,25659.379
3,1,1685.0,0.0,0.0,31743.84
3,2,2492.0,0.0,0.0,38143.793
3,3,4046.0,0.0,0.0,53614.0
3,4,5562.0,0.0,0.0,76534.78
3,5,4170.0,0.0,0.0,49907.64
3,6,9616.0,0.0,0.0,139656.53
3,7,8038.0,0.0,0.0,120355.09
3,8,6524.0,0.0,0.0,88671.36
3,9,9099.0,0.0,0.0,125942.34
3,10,3477.0,0.0,0.0,55739.97
3,11,6289.0,0.0,0.0,96980.54
3,12,7039.0,0.0,0.0,110321.1
3,13,7940.0,0.0,0.0,122442.805
4,0,1497.0,3.0,28.0,25657.172
4,1,1685.0,0.0,0.0,31741.121
4,2,2492.0,0.0,0.0,38141.06
4,3,4046.0,0.0,0.0,53610.668
4,4,5562.0,0.0,0.0,76530.05
4,5,4170.0,0.0,0.0,49904.52
4,6,9616.0,0.0,0.0,139650.69
4,7,8038.0,0.0,0.0,120350.8
4,8,6524.0,0.0,0.0,88668.15
4,9,9099.0,0.0,0.0,125937.78
4,10,3477.0,0.0,0.0,55737.957
4,11,6289.0,0.0,0.0,96977.055
4,12,7039.0,0.0,0.0,110317.14
4,13,7940.0,0.0,0.0,122438.41
5,0,1494.0,5.0,29.0,25654.965
5,1,1685.0,0.0,0.0,31738.4
5,2,2492.0,0.0,0.0,38138.32
5,3,4046.0,0.0,0.0,53607.336
5,4,5562.0,0.0,0.0,76525.31
5,5,4170.0,0.0,0.0,49901.402
5,6,9616.0,0.0,0.0,139644.88
5,7,8038.0,0.0,0.0,120346.49
5,8,6524.0,0.0,0.0,88664.94
5,9,9099.0,0.0,0.0,125933.234
5,10,3477.0,0.0,0.0,55735.945
5,11,6289.0,0.0,0.0,96973.57
5,12,7039.0,0.0,0.0,110313.17
5,13,7940.0,0.0,0.0,122434.01
6,0,1491.0,6.0,29.0,25654.76
6,1,1685.0,0.0,0.0,31735.68
6,2,2492.0,0.0,0.0,38135.586
6,3,4046.0,0.0,0.0,53604.004
6,4,5562.0,0.0,0.0,76520.57
6,5,4170.0,0.0,0.0,49898.28
6,6,9616.0,0.0,0.0,139639.05
6,7,8038.0,0.0,0.0,120342.195
6,8,6524.0,0.0,0.0,88661.73
6,9,9099.0,0.0,0.0,125928.68
6,10,3477.0,0.0,0.0,55733.938
6,11,6289.0,0.0,0.0,96970.08
6,12,7039.0,0.0,0.0,110309.21
6,13,7940.0,0.0,0.0,122429.61
7,0,1490.0,6.0,31.0,25652.555
7,1,1686.0,0.0,0.0,31732.963
7,2,2450.0,0.0,0.0,37767.85
7,3,4058.0,0.0,0.0,53600.67
7,4,5580.0,0.0,0.0,76514.836
7,5,4182.0,0.0,0.0,49894.164
7,6,9670.0,0.0,0.0,139626.22
7,7,8089.0,0.0,0.0,120333.89
7,8,6562.0,0.0,0.0,88654.516
7,9,9150.0,0.0,0.0,125916.13
7,10,3501.0,0.0,0.0,55729.93
7,11,6329.0,0.0,0.0,96963.59
7,12,7086.0,0.0,0.0,110297.25
7,13,7993.0,0.0,0.0,122421.21
8,0,1486.0,7.0,33.0,25651.348
8,1,1686.0,0.0,0.0,31730.242
8,2,2450.0,0.0,0.0,37765.117
8,3,4058.0,0.0,0.0,53597.34
8,4,5580.0,0.0,0.0,76510.09
8,5,4182.0,0.0,0.0,49891.047
8,6,9670.0,0.0,0.0,139620.4
8,7,8089.0,0.0,0.0,120329.59
8,8,6562.0,0.0,0.0,88651.305
8,9,9150.0,0.0,0.0,125911.58
8,10,3501.0,0.0,0.0,55727.918
8,11,6329.0,0.0,0.0,96960.11
8,12,7086.0,0.0,0.0,110293.29
8,13,7993.0,0.0,0.0,122416.81
9,0,1481.0,7.0,38.0,25649.143
9,1,1686.0,0.0,0.0,31727.525
9,2,2450.0,0.0,0.0,37762.383
9,3,4058.0,0.0,0.0,53594.008
9,4,5580.0,0.0,0.0,76505.36
9,5,4182.0,0.0,0.0,49887.93
9,6,9670.0,0.0,0.0,139614.58
9,7,8089.0,0.0,0.0,120325.3
9,8,6562.0,0.0,0.0,88648.09
9,9,9150.0,0.0,0.0,125907.03
9,10,3501.0,0.0,0.0,55725.91
9,11,6329.0,0.0,0.0,96956.625
9,12,7086.0,0.0,0.0,110289.33
9,13,7993.0,0.0,0.0,122412.42
10,0,1476.0,10.0,38.0,25648.938
10,1,1686.0,0.0,0.0,31724.809
10,2,2450.0,0.0,0.0,37759.65
10,3,4058.0,0.0,0.0,53590.68
10,4,5580.0,0.0,0.0,76500.625
10,5,4182.0,0.0,0.0,49884.81
10,6,9670.0,0.0,0.0,139608.75
10,7,8089.0,0.0,0.0,120321.0
10,8,6562.0,0.0,0.0,88644.88
10,9,9150.0,0.0,0.0,125902.484
10,10,3501.0,0.0,0.0,55723.9
10,11,6329.0,0.0,0.0,96953.14
10,12,7086.0,0.0,0.0,110285.36
10,13,7993.0,0.0,0.0,122408.02
11,0,1468.0,15.0,40.0,25647.732
11,1,1686.0,0.0,0.0,31722.09
11,2,2450.0,0.0,0.0,37756.914
11,3,4058.0,0.0,0.0,53587.348
11,4,5580.0,0.0,0.0,76495.89
11,5,4182.0,0.0,0.0,49881.69
11,6,9670.0,0.0,0.0,139602.94
11,7,8089.0,0.0,0.0,120316.695
11,8,6562.0,0.0,0.0,88641.67
11,9,9150.0,0.0,0.0,125897.93
11,10,3501.0,0.0,0.0,55721.89
11,11,6329.0,0.0,0.0,96949.664
11,12,7086.0,0.0,0.0,110281.4
11,13,7993.0,0.0,0.0,122403.625
12,0,1462.0,15.0,46.0,25645.527
12,1,1686.0,0.0,0.0,31719.371
