func,cumpct,selfpct,cumtime,selftime,calls,path
make_sim,99.99994422256016,0.0001173676062112154,80.85701850000001,9.49e-05,1,profiling_spatial_seir.py:11
run,99.96473369334673,0.014607258134464332,80.82854830000001,0.011811,1,seir.py:55
<built-in method builtins.sum>,85.01876254135945,85.01876254135945,68.7436749,68.7436749,5475,~
log_results,36.820559236830846,0.007333434750158301,29.772023,0.0059296,365,seir.py:62
log,36.812671490583284,3.1831968481229875,29.7656452,2.5738395,365,seir.py:143
step,30.089496349209494,0.4546018413659038,24.329483200000002,0.3675777,365,seir.py:295
step,24.547339609300376,0.643732998485985,19.848258,0.5205036000000001,365,seir.py:191
step,6.854053379202853,1.2071061655521211,5.5419863000000005,0.9760306000000001,365,seir.py:217
<method 'choice' of...RandomState' objects>,5.512362806111103,5.416113082790703,4.4571347,4.37931,7305,~
<method 'reduce' of...numpy.ufunc' objects>,1.8975315596298745,1.8975315596298745,1.5342883,1.5342883,39120,~
_wrapreduction,1.7260034409659168,0.15108104915153014,1.3955957,0.12215970000000001,35447,fromnumeric.py:71
sum,1.5567826037155272,0.05782525102729552,1.2587687,0.0467558,17891,fromnumeric.py:2177
step,1.1111199937268064,0.6795384046076093,0.8984190000000001,0.5494548,365,seir.py:388
predict_age_at_death,0.5375947142359495,0.40886718522882387,0.43468330000000005,0.330598,1826,kmestimator.py:128
step,0.5275578669418808,0.32044436003980725,0.42656780000000005,0.2591019,365,seir.py:118
<method 'sum' of 'n...mpy.ndarray' objects>,0.39276667474726346,0.011449587194754371,0.3175796,0.0092578,3672,~
_sum,0.3813170875525091,0.005124227637670482,0.30832180000000003,0.0041433,3672,_methods.py:47
prod,0.14598291694579912,0.017885883256339274,0.1180375,0.014462000000000001,9519,fromnumeric.py:2979
all,0.13187085364302048,0.021138289271241846,0.10662690000000001,0.0170918,8037,fromnumeric.py:2421
gravity,0.12512623572444448,0.017539222139152724,0.10117340000000001,0.0141817,365,migration.py:34
<method 'randint' o...RandomState' objects>,0.10985818188925672,0.05758853701434688,0.08882810000000001,0.046564400000000006,2212,~
<method 'rand' of '...RandomState' objects>,0.10332059597573612,0.10332059597573612,0.083542,0.083542,4015,~
_sanity_checks,0.10056882649396631,0.0351922253085629,0.081317,0.028455400000000002,365,migration.py:454
get_seasonality,0.04152327391715965,0.027111174984593426,0.0335745,0.0219213,1825,utils.py:57
<method 'prod' of '...mpy.generic' objects>,0.032711304148818975,0.0138668157125607,0.0264494,0.011212300000000001,2211,~
<method 'binomial' ...RandomState' objects>,0.03109227429327522,0.03109227429327522,0.0251403,0.0251403,1825,~
_has_values,0.02845218336620376,0.004830128409461557,0.0230056,0.0039055,2555,migration.py:521
__repr__,0.024201843510923634,0.0020471928194038445,0.0195689,0.0016553000000000002,730,_dtype.py:45
<method 'items' of 'dict' objects>,0.02193191195728755,0.02193191195728755,0.017733500000000003,0.017733500000000003,35464,~
_construction_repr,0.020884384428721696,0.0016978108514937463,0.016886500000000002,0.0013728000000000002,730,_dtype.py:68
__init__,0.020592387676071876,0.004247124304425024,0.016650400000000003,0.0034341000000000003,1,seir.py:255
<built-in method builtins.getattr>,0.020372617142628956,0.020372617142628956,0.0164727,0.0164727,20512,~
_scalar_str,0.019186573577227948,0.007899619050721994,0.015513700000000002,0.0063874000000000005,730,_dtype.py:103
_prod,0.018844488436258276,0.0030660277403395586,0.015237100000000002,0.0024791,2211,_methods.py:51
<built-in method builtins.isinstance>,0.01839431131654402,0.014882064057542646,0.0148731,0.0120332,23772,~
__getitem__,0.010233490596361453,0.004940322863765237,0.0082745,0.0039946,7301,propertyset.py:97
get_woy,0.00946027429074236,0.006724829913313843,0.0076493,0.0054375000000000005,1825,utils.py:42
__init__,0.009087270391550552,0.00032514166146394653,0.0073477,0.0002629,1,seir.py:23
issubdtype,0.008607905964074607,0.003471929198279715,0.0069601,0.0028073,1460,numerictypes.py:357
daterange,0.008095025602685872,0.00024190836432996557,0.006545400000000001,0.0001956,1,sc_datetime.py:462
_numba_unpickle,0.007826403431251983,0.007817498828884011,0.0063282,0.006321,1826,serialize.py:30
<built-in method builtins.len>,0.007491491442189844,0.007481968464657427,0.0060574,0.006049700000000001,12393,~
sample,0.007465519685283253,0.0023524228005727377,0.006036400000000001,0.0019021,1,pyramid.py:58
