func,cumpct,selfpct,cumtime,selftime,calls,path
make_sim,100.04945951584617,0.008767431598146611,0.9288953000000001,8.14e-05,1,profiling_spatial_seir.py:11
run,98.52562820424593,0.3344010427858205,0.9147475,0.0031047,1,seir.py:55
log_results,79.46640592712852,0.16370539663418962,0.7377948000000001,0.0015199,365,seir.py:62
log,79.2735978275727,0.8147033489973093,0.7360047000000001,0.007564,365,seir.py:185
_compile_for_args,78.339467842752,0.0018525776841292598,0.7273319,1.72e-05,1,dispatcher.py:388
compile,78.32337626682124,0.03245242187372942,0.7271825000000001,0.0003013,19,dispatcher.py:907
compile,78.29333650425708,0.000732414433260405,0.7269036000000001,6.8e-06,4,dispatcher.py:124
_compile_cached,78.29305646344436,0.0019710564895096196,0.726901,1.83e-05,4,dispatcher.py:131
_compile_core,78.29150546817392,0.015046808283305672,0.7268866,0.0001397,4,dispatcher.py:146
compile_extra,78.2658925046108,0.001540224469944675,0.7266488000000001,1.43e-05,4,compiler.py:725
compile_extra,78.17986612110415,0.0037697801711932613,0.7258501,3.5000000000000004e-05,4,compiler.py:439
_compile_bytecode,78.05354617296773,0.002143389297335597,0.7246773000000001,1.9900000000000003e-05,4,compiler.py:508
_compile_core,78.05259834252467,0.0059777942714636,0.7246685,5.55e-05,4,compiler.py:462
run,77.99639630557242,0.03714849088698731,0.7241467,0.00034490000000000004,4,compiler_machinery.py:342
_acquire_compile_lock,77.97441310177412,0.04842551899909972,0.7239426,0.00044960000000000003,138,compiler_lock.py:32
_runPass,77.90872198959097,0.29622932585236644,0.7233327,0.0027503000000000002,104,compiler_machinery.py:268
check,76.08448228154859,0.04817779058784988,0.7063958,0.00044730000000000003,312,compiler_machinery.py:272
run_pass,43.995359508317314,0.02954430574166604,0.4084688,0.0002743,4,typed_passes.py:437
run_pass,33.72501349312035,0.007162582325267196,0.31311520000000004,6.65e-05,4,typed_passes.py:105
type_inference_stage,33.71936959366405,0.011169320107221175,0.31306280000000003,0.0001037,4,typed_passes.py:68
propagate,32.08626851110166,0.007938079960484094,0.2979005,7.37e-05,4,typeinfer.py:1072
propagate,32.07703793508248,0.050999740316000255,0.29781480000000005,0.0004735,8,typeinfer.py:147
get_call_type,30.280608433903023,0.2822919100194405,0.2811361,0.0026209000000000002,110,functions.py:281
resolve,29.377821478505656,0.07053797240327048,0.2727543,0.0006549,78,typeinfer.py:585
resolve_call,29.10907923550154,0.01052307207787376,0.27025920000000003,9.77e-05,78,typeinfer.py:1539
resolve_function_type,29.086169742861173,0.007410310736517039,0.2700465,6.88e-05,78,context.py:189
_resolve_user_function_type,29.07155376659743,0.0316661534380234,0.2699108,0.00029400000000000004,78,context.py:233
apply,28.49647918688214,0.1025811038584132,0.2645716,0.0009524000000000001,603,templates.py:349
__call__,27.5292074489564,0.026377690397863703,0.2555911,0.0002449,34,typeinfer.py:575
generic,27.45916493337563,0.022737159832539926,0.2549408,0.0002111,99,templates.py:607
_get_impl,27.187331470631122,0.050902803111598144,0.252417,0.00047260000000000005,99,templates.py:698
get_call_type,25.723493517755315,0.010027615255374073,0.23882620000000002,9.31e-05,18,functions.py:534
_build_impl,25.716083207018798,0.016522407950315607,0.2387574,0.00015340000000000002,13,templates.py:749
get_call_template,25.67743757486382,0.012806481781567963,0.23839860000000002,0.0001189,18,dispatcher.py:348
__call__,20.29783202096517,17.12295547318767,0.18845240000000002,0.1589757,2065,ffi.py:190
lower,18.300624027867958,0.004437569801518925,0.16990960000000002,4.1200000000000005e-05,4,lowering.py:182
get_executable,16.672251326720293,0.006882541512549983,0.15479120000000002,6.390000000000001e-05,4,cpu.py:225
get_pointer_to_function,16.60338282839284,0.004082133385377845,0.1541518,3.79e-05,4,codegen.py:975
_ensure_finalized,16.59464770919616,0.0019818272899987427,0.1540707,1.84e-05,25,codegen.py:565
finalize,16.592978235120345,0.008444307583472905,0.1540552,7.840000000000001e-05,4,codegen.py:739
lower_normal_function,13.764189048659366,0.005019193027931599,0.1277917,4.66e-05,4,lowering.py:218
lower_function_body,13.396064629542101,0.011309340513579784,0.12437390000000001,0.000105,4,lowering.py:235
lower_block,13.362815168432176,0.08064098326206841,0.12406520000000001,0.0007487,20,lowering.py:260
lower_inst,13.054985690453021,0.11051918381889728,0.1212072,0.0010261,244,lowering.py:442
_markup,12.569125651189147,0.21224939443866975,0.1166963,0.0019706000000000003,317,errors.py:320
__init__,12.167396334545815,0.030352115778350314,0.11296650000000001,0.0002818,317,errors.py:243
init,12.137044218767464,0.06924547634457565,0.11268470000000001,0.0006429000000000001,317,initialise.py:37
wrap_stream,12.06779874242289,0.12081606908649946,0.11204180000000001,0.0011217,634,initialise.py:111
__init__,11.932183593464334,0.360843357986619,0.11078270000000001,0.0033502000000000002,634,ansitowin32.py:81
errmsg,11.044583466756636,0.023448032664822083,0.1025419,0.0002177,273,errors.py:335
_finalize_final_module,10.41750746227986,0.004997651426953352,0.09671990000000001,4.64e-05,4,codegen.py:781
lower_assign,10.044525412141999,0.03365875152851126,0.093257,0.0003125,105,lowering.py:650
lower_expr,9.655785680888549,0.029242723327970583,0.0896478,0.00027150000000000004,58,lowering.py:1170
step,9.518490287053691,5.816221493326257,0.08837310000000001,0.0539999,365,seir.py:573
_finalize_specific,8.894494731516804,0.0029619701345089907,0.0825797,2.75e-05,4,codegen.py:996
add_ir_module,8.250400862267213,0.013592750217273988,0.0765997,0.0001262,9,codegen.py:723
wrapper,8.242732052318956,0.003177386144291463,0.0765285,2.9500000000000002e-05,9,codegen.py:1058
finalize_object,8.217646857979787,0.0010986216498906076,0.0762956,1.02e-05,4,executionengine.py:94
pformat,8.122766876471097,0.03727774049285679,0.0754147,0.0003461,112,pprint.py:57
pformat,8.069063665232328,0.028811891308405637,0.0749161,0.0002675,112,pprint.py:159
_format,8.028253102179038,0.4486361527734654,0.0745372,0.0041653,2897,pprint.py:171
enable_vt_processing,7.999688939281882,0.2647139636211908,0.074272,0.0024577,634,winterm.py:178
__init__,7.562351356221507,0.05201219556197788,0.0702116,0.00048290000000000003,148,errors.py:536
get_call_type,6.8462439149016365,0.0010770800489123605,0.06356300000000001,1e-05,2,functions.py:389
generic,6.844197462808702,0.002638846119835283,0.063544,2.4500000000000003e-05,2,templates.py:1136
_get_signature,6.654749853005507,0.0016371616743467877,0.0617851,1.52e-05,3,templates.py:1076
